央视频道,#genre#
Ando TV,http://play.kankanlive.com/live/1711956137852982.m3u8
Angel TV Chinese,https://janya-digimix.akamaized.net/vglive-sk-999451/chinese/ngrp:angelchinese_all/playlist.m3u8
Anhui TV,https://restream.pdtvhd.com/memfs/c1cd2ed0-3b2b-4c25-af98-a7fb0b1eb130.m3u8
Anshun Comprehensive News Channel,https://hplayer1.juyun.tv/camera/154379194.m3u8
Bread TV,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC动作电影,http://198.204.228.26/live/chcdz.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
Chuxiong News Channel,http://hwapi.yntv.net/ew265l/848y54.m3u8
Dragon TV International,https://restream.pdtvhd.com/memfs/0b1b95c9-3543-4af9-9fdb-cf45f1602f17.m3u8
Guangdong Satellite TV,https://h5cul1yar48um3t.wcetv.com/hls/gdsatellite.m3u8
Guangxi Variety & Travel Channel,http://111.59.24.227:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
HBO SIGNATURE,https://d1k6kax80wecy5.cloudfront.net/RLnAKY/index.m3u8
Harbin Comprehensive News Channel,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
Harbin Movie Channel,https://stream.hrbtv.net/yspd/playlist.m3u8
Hebei TV,https://event.pull.hebtv.com/live/live101.m3u8
HomePlus,https://homeplushls.wns.live/hls/stream.m3u8
Hunan TV,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
Kangba TV,http://110.185.237.164:8888/hls/30/index.m3u8
Lanzhou Comprehensive News Channel,https://liveplus.lzr.com.cn/xwzh/HD/live.m3u8
Lanzhou Culture & Tourism Channel,https://liveplus.lzr.com.cn/wlpd/HD/live.m3u8
Nei Monggol TV,https://cdn4.skygo.mn/live/disk1/NeigMGL/HLSv3-FTA/NeigMGL.m3u8
QTV-1,http://video10.qtv.com.cn/drm/qtv1at/manifest.m3u8
QTV-2,http://video10.qtv.com.cn/drm/qtv2at/manifest.m3u8
QTV-3,http://video10.qtv.com.cn/drm/qtv3at/manifest.m3u8
QTV-4,http://video10.qtv.com.cn/drm/qtv4at/manifest.m3u8
QTV-5,http://video10.qtv.com.cn/drm/qtv5at/manifest.m3u8
QTV-6,http://video10.qtv.com.cn/drm/qtv6at/manifest.m3u8
Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
TV BRICS Chinese,https://chibrics.mediacdn.ru/cdn/brics/chinese/playlist.m3u8
VoA TV China,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
Xinjiang TV 2,http://110.153.180.106:55555/out_3/index.m3u8
Xinjiang TV 3,http://110.153.180.106:55555/out_2/index.m3u8
Xinjiang TV 8,http://120.70.60.179:9901/tsfile/live/1002_1.m3u8?authid=0&key=txiptv&playlive=1
Xizang TV Tibetan,http://php.jdshipin.com:8880/xztv.php?id=zy
Zhejiang International Channel,https://ali-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
三立新闻,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8
东南卫视,http://221.226.51.220:50081/newlive/live/hls/20/live.m3u8
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
公共频道,http://tvcdn.stream3.hndt.com/tv/65b93894017e10000ae6b07d00000000_transios/playlist.m3u8?wsSecret=ba69b8afe6a22b2f35d7416d15a25b5c&wsTime=1790172220
半·新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
国学频道,http://tvcdn.stream3.hndt.com/tv/647f9277018410008cf925e200000000_transios/playlist.m3u8?wsSecret=2fce26a9918c759836b1016f3f84773e&wsTime=1790172220
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8
寰宇新闻,http://222.128.55.152:9080/live/hy.m3u8
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
新闻频道,http://tvcdn.stream3.hndt.com/tv/65bb6966017e100059b75a8500000000_transios/playlist.m3u8?wsSecret=a6db35d6f45d536ef82e0ed018c6c065&wsTime=1790172220
欢腾购物,http://tvcdn.stream3.hndt.com/tv/65ba653b017e1000d4ee41c700000000_transios/playlist.m3u8?wsSecret=cdb68ab7de872f1647a2f306d9434a2b&wsTime=1790172220
民生频道,http://tvcdn.stream3.hndt.com/tv/65bef28a017e10009c49d5f900000000_transios/playlist.m3u8?wsSecret=2e2d477319e4e0207b9d2366824bc784&wsTime=1790172220
河南乡村频道,http://tvcdn.stream3.hndt.com/tv/65b8302b017e100019dc540f00000000_transios/playlist.m3u8?wsSecret=29741ccca2976b1abbef3a9fa0bfae4e&wsTime=1790172220
法治频道,http://tvcdn.stream3.hndt.com/tv/65be54a9017e1000af59fb4800000000_transios/playlist.m3u8?wsSecret=1faad597f7fc82cb25f0d84d652a094b&wsTime=1790172220
电视剧频道,http://tvcdn.stream3.hndt.com/tv/65bd329b017e1000648cd2ed00000000_transios/playlist.m3u8?wsSecret=7da0c4b9948c3aeb289e97201da5d331&wsTime=1790172220
都市频道,http://tvcdn.stream3.hndt.com/tv/65c3fbc5017e1000fde13faa00000000_transios/playlist.m3u8?wsSecret=21c4e99616a3485d2108a8bb7db5a1ca&wsTime=1790172220
香港卫视,https://hkstv.tv/api/m3u8-proxy?url=http%3A%2F%2Fwebcast.hkstv.tv%2Flivestream%2Fmutfysrq%2Fplaylist.m3u8
黄龙,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8

海外频道,#genre#
ABN China,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
凤凰香港,https://epg.pw/stream/5f16dc7fc8aaaed3205516c63e4a8c24bca9dbba1181684244729cf574505b0e.m3u8
凤凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8

